Tag,EPIC,MCP,TIDE,XCELL,IntegratedScore
TCGA-13-0893-01,0.060553256,0.142454161,-0.445951413,0.665173917,0.10555748
TCGA-13-0897-01,0.318054408,0.313823555,-0.228085298,-0.136661752,0.066782728
TCGA-13-0916-01,-0.48479657,-0.446463642,-0.228085298,-0.304913375,-0.366064721
TCGA-13-0920-01,-0.439077519,-0.397071941,-0.881683643,-0.260571563,-0.494601167
TCGA-13-0924-01,-0.081758948,-0.08057188,-0.228085298,-0.37613635,-0.191638119
TCGA-13-1403-01,0.065409794,0.04448388,-0.663817528,-0.335440668,-0.22234113
TCGA-13-1405-01,1.060507584,0.636077123,-0.010219183,0.309655332,0.499005214
TCGA-13-1410-01,0.099232455,0.010131017,-0.228085298,-0.52941412,-0.162033987
TCGA-13-1411-01,2.953963187,1.400223637,-0.010219183,-0.142768927,1.050299678
TCGA-13-1489-02,-0.533224466,-0.518463858,-0.445951413,-0.675613521,-0.543313315
TCGA-13-1497-01,0.030337463,-0.119623759,-0.228085298,-0.675613521,-0.248246279
TCGA-13-1498-01,-0.269145118,-0.327662884,-0.445951413,-0.36506017,-0.351954897
TCGA-13-1505-01,0.935453928,0.512369658,-0.010219183,1.249342685,0.671736772
TCGA-13-1506-01,-0.511741747,-0.515641788,-0.445951413,-0.675613521,-0.537237117
TCGA-13-1507-01,-0.324374723,-0.233625636,-0.228085298,-0.626319557,-0.353101304
TCGA-13-1511-01,0.804960148,0.407803841,-0.010219183,-0.610251452,0.148073338
TCGA-13-1512-01,0.4351428,0.293042756,-0.010219183,-0.549662173,0.04207605
TCGA-13-2060-01,-0.137819375,-0.218803797,-0.663817528,-0.675613521,-0.424013555
TCGA-13-A5FT-01,-0.468510408,-0.487805984,-0.663817528,-0.52511975,-0.536313418
TCGA-14-0736-02,-0.535757229,-0.297673965,-0.228085298,-0.115068113,-0.294146151
TCGA-14-0781-01,-0.46919488,-0.124449573,0.643379162,0.375833913,0.106392155
TCGA-14-0787-01,-0.527864918,-0.369821325,0.207646932,-0.376174993,-0.266553576
TCGA-14-0789-01,-0.479299329,-0.250537374,1.079111392,0.141414633,0.12267233
TCGA-14-0790-01,-0.564909113,-0.528802347,0.425513047,0.08536298,-0.145708858
TCGA-14-0817-01,-0.550473216,-0.368332029,-0.010219183,-0.008995351,-0.234504945
TCGA-14-1034-01,-0.501343292,-0.423364502,0.643379162,-0.169098443,-0.112606769
TCGA-14-1034-02,-0.539908265,-0.536592067,0.425513047,-0.469420558,-0.280101961
TCGA-14-1402-02,-0.550656418,-0.379875774,0.207646932,0.527032856,-0.048963101
TCGA-14-1823-01,-0.555219535,-0.526577697,0.207646932,-0.185569119,-0.264929855
TCGA-14-1825-01,-0.551538745,-0.502970142,0.207646932,-0.204415323,-0.26281932
TCGA-14-1829-01,-0.550522154,-0.381399602,0.207646932,1.20928838,0.121253389
TCGA-14-2554-01,-0.556627972,-0.42466385,0.643379162,0.192895834,-0.036254206
TCGA-15-0742-01,-0.541937794,-0.366591501,-0.228085298,-0.23354717,-0.342540441
TCGA-15-1444-01,-0.556491345,-0.529098438,-0.228085298,-0.317036655,-0.407677934
TCGA-16-0846-01,-0.565661992,-0.550326555,-0.010219183,0.017969668,-0.277059516
TCGA-16-1045-01,-0.420813319,-0.380627299,0.207646932,0.148289673,-0.111376003
TCGA-18-3406-01,-0.339303389,-0.342516448,-1.099549758,0.296738377,-0.371157805
TCGA-18-3407-01,0.764957582,0.445919794,0.643379162,-0.484498634,0.342439476
TCGA-18-3408-01,-0.486240516,-0.460036776,-0.228085298,-0.675613521,-0.462494028
TCGA-18-3409-01,2.303352397,1.784451495,2.168441967,1.312105586,1.892087861
TCGA-18-3410-01,-0.34601993,-0.341622691,-0.445951413,-0.675613521,-0.452301889
TCGA-18-3411-01,-0.308194211,-0.312065125,-0.445951413,-0.675613521,-0.435456068
TCGA-18-3412-01,-0.407274798,-0.390870694,-0.663817528,-0.675613521,-0.534394135
TCGA-18-3414-01,0.007096783,0.018099396,0.425513047,-0.370939867,0.01994234
TCGA-18-3415-01,-0.064489529,-0.085591346,-0.010219183,-0.675613521,-0.208978395
